train ID,train type,origin,destination,departure time,# of nodes, actual trip time,,node, time_stemp, node_position
,,,,,,,,2,13, 0.41
,,,,,,,,3,15, 0.35
,,,,,,,,3,15, 0.35
,,,,,,,,4,17, 0.00
,,,,,,,,4,17, 0.00
19,1,1,6,9,8,6
,,,,,,,,1,9, 0.82
,,,,,,,,1,9, 0.82
,,,,,,,,2,11, 0.41
,,,,,,,,2,11, 0.41
,,,,,,,,3,13, 0.35
,,,,,,,,3,13, 0.35
,,,,,,,,6,15, 0.74
,,,,,,,,6,15, 0.74
38,2,5,4,9,8,9
,,,,,,,,5,9, 0.22
,,,,,,,,5,12, 0.22
,,,,,,,,2,14, 0.41
,,,,,,,,2,14, 0.41
,,,,,,,,3,16, 0.35
,,,,,,,,3,16, 0.35
,,,,,,,,4,18, 0.00
,,,,,,,,4,18, 0.00
39,2,5,4,9,8,9
,,,,,,,,5,9, 0.22
,,,,,,,,5,12, 0.22
,,,,,,,,2,14, 0.41
,,,,,,,,2,14, 0.41
,,,,,,,,3,16, 0.35
,,,,,,,,3,16, 0.35
,,,,,,,,4,18, 0.00
,,,,,,,,4,18, 0.00
40,2,5,4,9,4,10
,,,,,,,,5,9, 0.22
,,,,,,,,5,9, 0.22
,,,,,,,,4,19, 0.00
,,,,,,,,4,19, 0.00
